"Trait","Var_G","Var_l95","Var_u95"
"worker_PC1",0.00493126306891611,0.00275120780614499,0.0085968032887226
"worker_PC2",0.00482632729344679,0.00280111954455897,0.00823345863606042
"gyne_PC1",0.0062171273071181,0.00343466377307236,0.0109392730125408
"gyne_PC2",0.0061525493197475,0.00345093979595521,0.0107749618663073
