"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"Colony",9,0.0236586175907405,0.00262873528786006,0.314870540015207,18.4301843623924,18.9712265360482,0.001
"Patriline",21,0.0166767609689487,0.000794131474711841,0.221949600895216,5.56769240117453,11.9415770891495,0.001
"Residuals",244,0.0348022243090895,0.000142632066840531,0.463179859089577,NA,NA,NA
"Total",274,0.0751376028687787,NA,NA,NA,NA,NA
