"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"Colony",9,0.0396536960305411,0.00440596622561568,0.227597614501601,24.0246811455784,16.5718109542006,0.001
"Patriline",21,0.0304060978384086,0.0014479094208766,0.17451980589638,7.8951041344804,17.3054825555458,0.001
"Residuals",568,0.104167410213904,0.00018339332784138,0.597882579602019,NA,NA,NA
"Total",598,0.174227204082854,NA,NA,NA,NA,NA
