"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"Caste",2,0.128945894938738,0.064472947469369,0.310817050623221,291.960242458993,12.117238217985,0.001
"Colony",9,0.0609024060163392,0.00676693400181547,0.146801929777213,30.6434833433462,19.8299625762378,0.001
"Caste:Colony",18,0.018538748204719,0.00102993045581772,0.04468664195921,4.66395220630024,18.4056496829767,0.001
"Residuals",935,0.206474023230498,0.000220827832332084,0.497694377640356,NA,NA,NA
"Total",964,0.414861072390295,NA,NA,NA,NA,NA
