"Caste","Slope","SE","t","p","CI_lo","CI_hi"
"gyne",0.0187361969217562,0.00189999117962862,9.86120205327397,8.43201244206189e-20,0.0149955772906539,0.0224768165528585
"worker",-0.00989674665481732,0.00327673293055357,-3.02030921181769,0.00263312647124411,-0.0163320717761643,-0.00346142153347031
"male",0.000854315377020548,0.0113622640596328,0.075188833188247,0.9402332186734,-0.0217222612876357,0.0234308920416768
