"grp","var1","var2","vcov","sdcor","PropVar"
"pat_pair","(Intercept)",NA,4.81582785023722e-06,0.00219449945323238,0.111654566196716
"colony","(Intercept)",NA,8.05594018370028e-06,0.00283829881860601,0.186776299836681
"Residual",NA,NA,3.02597223679201e-05,0.0055008837806229,0.701569133966603
